,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
149,Timothe Luwawu-Cabarrot,SG/SF,CHI,105.0,3.0,3300,,8.3,2.5,5.2,,,,41.4,18.30%,Timothe Luwawu-Cabarrot (12151984),5.2
15,Chris Paul,PG,HOU,116.0,-4.5,8400,,48.8,5.8,40.0,40.9,43.9,41.6,57.1,23.20%,Chris Paul (12151308),40.0
150,Kentavious Caldwell-Pope,SG/SF,LAL,122.0,-5.5,3300,,14.4,4.4,15.7,17.1,18.9,17.2,44.2,17.90%,Kentavious Caldwell-Pope (12151930),15.7
151,DeAndre' Bembry,SG/SF,ATL,116.0,5.0,3300,,15.8,4.8,16.9,15.8,17.0,16.6,40.4,17.60%,DeAndre' Bembry (12151947),16.9
152,Frank Jackson,PG/SG,NOR,116.5,5.5,3300,,11.4,3.4,15.3,15.6,16.7,15.9,47.9,20.60%,Frank Jackson (12151989),15.3
153,Austin Rivers,PG/SG,HOU,116.0,-4.5,3300,,12.5,3.8,9.1,12.6,13.5,11.7,52.6,21.40%,Austin Rivers (12151935),9.1
154,Kevon Looney,C/PF,GSW,116.25,-9.0,3300,,11.4,3.5,18.6,17.9,19.2,18.6,46.6,21.10%,Kevon Looney (12151943),18.6
155,Omari Spellman,C/PF,ATL,116.0,5.0,3200,,17.2,5.4,14.3,16.5,17.6,16.1,48.5,21.20%,Omari Spellman (12152099),14.3
156,Bruno Caboclo,SF/PF,MEM,108.5,-3.0,3200,,14.1,4.4,18.7,19.1,19.7,19.2,38.9,17.10%,Bruno Caboclo (12152055),18.7
157,Harry Giles,C/PF,SAC,110.5,6.5,3200,,15.1,4.7,18.5,14.9,15.6,16.4,44.2,19.80%,Harry Giles (12152103),18.5
